Mg,Al,Si,S,K,Ca,Fe,C,O,labels,x,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29268292682926833,0.015527950310559004,1.0,49,0
0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.3048780487804878,0.012422360248447204,1.0,50,0
0.0,0.0,0.0,0.0,0.125,0.0,0.007042253521126761,0.32926829268292684,0.009316770186335404,1.0,51,0
0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.32926829268292684,0.009316770186335404,1.0,52,0
0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.3048780487804878,0.012422360248447204,1.0,53,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.02702702702702703,0.007042253521126761,0.3048780487804878,0.015527950310559004,1.0,54,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.3048780487804878,0.012422360248447204,1.0,55,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.2682926829268293,0.006211180124223602,1.0,56,0
0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.007042253521126761,0.2682926829268293,0.006211180124223602,1.0,57,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.3048780487804878,0.006211180124223602,1.0,58,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.3170731707317073,0.009316770186335404,1.0,59,0
0.0,0.0,0.005050505050505051,0.0,0.125,0.0,0.0,0.3170731707317073,0.015527950310559004,1.0,60,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.02702702702702703,0.0,0.3170731707317073,0.009316770186335404,1.0,61,0
0.0,0.0,0.005050505050505051,0.0,0.125,0.0,0.014084507042253521,0.2804878048780488,0.009316770186335404,1.0,62,0
0.0,0.0,0.005050505050505051,0.0,0.125,0.0,0.007042253521126761,0.2804878048780488,0.006211180124223602,1.0,63,0
0.0,0.0,0.005050505050505051,0.0,0.125,0.0,0.007042253521126761,0.2804878048780488,0.006211180124223602,1.0,64,0
0.0,0.0,0.015151515151515152,0.0,0.125,0.0,0.007042253521126761,0.29268292682926833,0.006211180124223602,1.0,65,0
